section,key,value,unit,kind
D2 circuit,EU 16 A / 230 V | RTX 4090 (used),6,cards,arithmetic
D2 circuit,EU 16 A / 230 V | RTX 5090,4,cards,arithmetic
D2 circuit,EU 16 A / 230 V | RTX A6000 (used),9,cards,arithmetic
D2 circuit,EU 16 A / 230 V | L40S,7,cards,arithmetic
D2 circuit,EU 16 A / 230 V | RTX 6000 Ada,9,cards,arithmetic
D2 circuit,EU 16 A / 230 V | RTX PRO 6000 Blackwell,4,cards,arithmetic
D2 circuit,EU 16 A / 230 V | A100 80GB (used),6,cards,arithmetic
D2 circuit,EU 16 A / 230 V | H100 PCIe (used),7,cards,arithmetic
E lanes,2M-token optimizer step | PCIe 3.0 x8,0.845,% of step,arithmetic
E lanes,2M-token optimizer step | PCIe 3.0 x16,0.423,% of step,arithmetic
E lanes,2M-token optimizer step | PCIe 4.0 x8,0.423,% of step,arithmetic
E lanes,2M-token optimizer step | PCIe 4.0 x16,0.211,% of step,arithmetic
E lanes,2M-token optimizer step | PCIe 5.0 x16,0.106,% of step,arithmetic
E lanes,2M-token optimizer step | NVLink 4 (bridge),0.015,% of step,arithmetic
E lanes,8k-token micro-step | PCIe 3.0 x8,216.36,% of step,arithmetic
E lanes,8k-token micro-step | PCIe 3.0 x16,108.249,% of step,arithmetic
E lanes,8k-token micro-step | PCIe 4.0 x8,108.249,% of step,arithmetic
E lanes,8k-token micro-step | PCIe 4.0 x16,54.124,% of step,arithmetic
E lanes,8k-token micro-step | PCIe 5.0 x16,27.062,% of step,arithmetic
E lanes,8k-token micro-step | NVLink 4 (bridge),3.789,% of step,arithmetic
